	Protien	Hits
90	LOC_Os12g18150.1	4778
91	LOC_Os02g43080.1	4776
92	LOC_Os01g06520.1	4770
93	LOC_Os12g12130.1	4764
94	LOC_Os12g11720.1	4750
95	LOC_Os02g35750.3	4744
96	LOC_Os01g63400.2	4736
97	LOC_Os01g63400.1	4736
98	LOC_Os12g12010.1	4728
99	LOC_Os03g11310.1	4722
100	LOC_Os08g20610.1	4700
101	LOC_Os04g28234.3	4698
102	LOC_Os08g01640.1	4670
103	LOC_Os11g04295.1	4650
104	LOC_Os12g05640.1	4636
105	LOC_Os08g31110.1	4636
106	LOC_Os01g60000.1	4614
107	LOC_Os06g05920.1	4612
108	LOC_Os12g12120.1	4608
109	LOC_Os11g35450.1	4608
110	LOC_Os12g37100.1	4606
111	LOC_Os05g01550.1	4594
112	LOC_Os11g35490.1	4580
113	LOC_Os04g41140.1	4572
114	LOC_Os08g16580.1	4572
115	LOC_Os04g58780.2	4562
116	LOC_Os05g24930.1	4532
117	LOC_Os08g01870.1	4532
118	LOC_Os11g38170.1	4530
119	LOC_Os11g38170.2	4530
120	LOC_Os06g13000.1	4512
121	LOC_Os07g01130.1	4502
122	LOC_Os05g50690.1	4472
123	LOC_Os11g36200.1	4468
124	LOC_Os11g36200.2	4468
125	LOC_Os04g28300.1	4466
126	LOC_Os06g03570.1	4458
127	LOC_Os06g36910.1	4458
128	LOC_Os04g58780.1	4448
129	LOC_Os10g01540.1	4436
130	LOC_Os01g09850.1	4428
131	LOC_Os01g09850.3	4428
132	LOC_Os01g09850.2	4428
133	LOC_Os01g06790.1	4422
134	LOC_Os10g33874.1	4410
135	LOC_Os11g35660.1	4410
136	LOC_Os10g03050.1	4400
137	LOC_Os01g67970.1	4398
138	LOC_Os08g21561.1	4396
139	LOC_Os07g42880.1	4376
140	LOC_Os07g31500.1	4368
141	LOC_Os03g37260.1	4364
142	LOC_Os07g42354.1	4354
143	LOC_Os02g10100.1	4352
144	LOC_Os01g70870.1	4352
145	LOC_Os11g35850.1	4346
146	LOC_Os02g39670.1	4342
147	LOC_Os02g58030.1	4334
148	LOC_Os10g34310.2	4332
149	LOC_Os10g34310.1	4332
150	LOC_Os08g01650.1	4330
151	LOC_Os12g31470.1	4324
152	LOC_Os05g38600.1	4320
153	LOC_Os09g25050.1	4316
154	LOC_Os05g03020.1	4314
155	LOC_Os12g39400.1	4310
156	LOC_Os07g28900.1	4304
157	LOC_Os04g55440.1	4300
158	LOC_Os07g32900.1	4292
159	LOC_Os02g35750.2	4286
160	LOC_Os02g35750.1	4286
161	LOC_Os11g09130.1	4284
162	LOC_Os04g43430.2	4278
163	LOC_Os09g02260.1	4278
164	LOC_Os04g43430.1	4278
165	LOC_Os04g43430.3	4278
166	LOC_Os01g07280.1	4268
167	LOC_Os04g40130.1	4264
168	LOC_Os06g49670.2	4256
169	LOC_Os06g49670.1	4256
170	LOC_Os03g55110.1	4254
171	LOC_Os11g12560.1	4248
172	LOC_Os06g43690.1	4248
173	LOC_Os02g39660.1	4244
174	LOC_Os07g28300.1	4240
175	LOC_Os03g40020.1	4232
176	LOC_Os12g11510.1	4232
177	LOC_Os02g25960.1	4222
178	LOC_Os08g23290.1	4222
179	LOC_Os05g04160.1	4216
180	LOC_Os02g03930.1	4214
181	LOC_Os08g15000.1	4210
182	LOC_Os10g30760.1	4209
183	LOC_Os01g06730.1	4208
184	LOC_Os03g06710.1	4202
185	LOC_Os01g68870.1	4200
186	LOC_Os01g68870.2	4200
187	LOC_Os01g57630.1	4196
188	LOC_Os01g57630.3	4196
189	LOC_Os01g57630.2	4196
190	LOC_Os10g22370.1	4186
191	LOC_Os02g07360.1	4168
192	LOC_Os07g02450.1	4166
193	LOC_Os04g58550.1	4166
194	LOC_Os03g05480.1	4126
195	LOC_Os01g12790.1	4124
196	LOC_Os06g23190.1	4122
197	LOC_Os11g39360.2	4110
198	LOC_Os11g39360.1	4110
199	LOC_Os02g16650.1	4108
200	LOC_Os06g02120.1	4106
201	LOC_Os07g47470.1	4106
202	LOC_Os02g27070.2	4104
203	LOC_Os02g27070.1	4104
204	LOC_Os01g57210.2	4100
205	LOC_Os02g31890.1	4098
206	LOC_Os01g59440.3	4092
207	LOC_Os01g57210.1	4092
208	LOC_Os02g06190.1	4074
209	LOC_Os02g13340.1	4070
210	LOC_Os04g52780.1	4069
211	LOC_Os11g36000.1	4068
212	LOC_Os02g29040.2	4068
213	LOC_Os04g57660.1	4064
214	LOC_Os06g03570.2	4062
215	LOC_Os12g44170.1	4062
216	LOC_Os12g11940.1	4062
217	LOC_Os10g35640.1	4062
218	LOC_Os06g13950.1	4060
219	LOC_Os01g10800.1	4056
220	LOC_Os10g33060.1	4044
221	LOC_Os03g24880.1	4042
222	LOC_Os08g44830.1	4032
223	LOC_Os07g34780.1	4028
224	LOC_Os02g34680.1	4028
225	LOC_Os09g33810.5	4028
226	LOC_Os11g10760.1	4020
227	LOC_Os09g33810.3	4018
228	LOC_Os05g45010.1	4018
229	LOC_Os02g06070.1	4010
230	LOC_Os10g03100.1	4004
231	LOC_Os11g47630.1	4000
232	LOC_Os10g35260.1	4000
233	LOC_Os11g10720.1	3998
234	LOC_Os07g48850.2	3994
235	LOC_Os07g48850.1	3994
236	LOC_Os03g45290.1	3994
237	LOC_Os10g35230.1	3992
238	LOC_Os07g36390.1	3978
239	LOC_Os02g26890.1	3978
240	LOC_Os04g38930.1	3978
241	LOC_Os01g36600.1	3976
242	LOC_Os02g55020.1	3976
243	LOC_Os10g40920.1	3972
244	LOC_Os08g15010.1	3970
245	LOC_Os02g39100.1	3968
246	LOC_Os10g01540.2	3964
247	LOC_Os04g58130.1	3962
248	LOC_Os01g06720.1	3962
249	LOC_Os02g06180.1	3958
250	LOC_Os11g09110.1	3956
251	LOC_Os01g06876.1	3956
252	LOC_Os02g06090.1	3952
253	LOC_Os02g17710.1	3950
254	LOC_Os11g36120.1	3950
255	LOC_Os07g35110.1	3941
256	LOC_Os03g23935.1	3934
257	LOC_Os01g36610.1	3922
258	LOC_Os04g41280.1	3918
259	LOC_Os10g35200.1	3918
260	LOC_Os02g58139.2	3918
261	LOC_Os02g58139.1	3918
262	LOC_Os02g06030.1	3914
263	LOC_Os03g48090.1	3910
264	LOC_Os09g33810.1	3900
265	LOC_Os01g62190.1	3898
266	LOC_Os01g03510.1	3894
267	LOC_Os12g37550.1	3888
268	LOC_Os12g18640.1	3882
269	LOC_Os09g33810.2	3882
270	LOC_Os10g33140.1	3880
271	LOC_Os01g12810.2	3864
272	LOC_Os01g12810.3	3864
273	LOC_Os01g12810.4	3864
274	LOC_Os01g12810.1	3864
275	LOC_Os10g33040.1	3858
276	LOC_Os03g32580.1	3856
277	LOC_Os12g36620.1	3852
278	LOC_Os10g06740.1	3850
279	LOC_Os03g53090.1	3840
280	LOC_Os08g42690.1	3840
281	LOC_Os04g36840.1	3838
282	LOC_Os07g30930.1	3838
283	LOC_Os12g19260.1	3828
284	LOC_Os01g54630.1	3828
285	LOC_Os02g02740.3	3824
286	LOC_Os02g02740.1	3824
287	LOC_Os02g02740.2	3824
288	LOC_Os04g52640.3	3816
289	LOC_Os07g39310.1	3812
290	LOC_Os02g05720.1	3810
291	LOC_Os10g33700.1	3808
292	LOC_Os10g33700.2	3808
293	LOC_Os01g41780.1	3804
294	LOC_Os04g52640.1	3801
295	LOC_Os06g20870.1	3798
296	LOC_Os10g43040.1	3796
297	LOC_Os06g03800.2	3794
298	LOC_Os01g39110.1	3786
299	LOC_Os03g47780.1	3774
300	LOC_Os05g23990.1	3774
301	LOC_Os03g59264.1	3766
302	LOC_Os02g06200.1	3764
303	LOC_Os01g59440.2	3764
304	LOC_Os06g07550.1	3762
305	LOC_Os03g53490.1	3760
306	LOC_Os04g58080.1	3758
307	LOC_Os10g10170.4	3756
308	LOC_Os10g28330.1	3738
309	LOC_Os10g06760.1	3730
310	LOC_Os06g44030.2	3728
311	LOC_Os07g22220.1	3724
312	LOC_Os01g40720.1	3722
313	LOC_Os01g17250.1	3722
314	LOC_Os03g50350.1	3716
315	LOC_Os06g44030.1	3714
316	LOC_Os10g10170.2	3710
317	LOC_Os01g52880.1	3706
318	LOC_Os04g49520.1	3696
319	LOC_Os01g43440.1	3684
320	LOC_Os09g04110.2	3684
321	LOC_Os09g04110.1	3684
322	LOC_Os06g36310.1	3682
323	LOC_Os03g04300.2	3680
324	LOC_Os12g42120.1	3680
325	LOC_Os03g04300.1	3680
326	LOC_Os10g10170.1	3676
327	LOC_Os06g02120.2	3668
328	LOC_Os06g02120.3	3668
329	LOC_Os08g09270.1	3666
330	LOC_Os11g31560.1	3662
331	LOC_Os03g50340.1	3658
332	LOC_Os01g41650.1	3656
333	LOC_Os08g41380.1	3654
334	LOC_Os02g29210.4	3652
335	LOC_Os02g02424.1	3652
336	LOC_Os03g63910.1	3648
337	LOC_Os01g32170.1	3646
338	LOC_Os11g31540.1	3644
339	LOC_Os02g29210.2	3644
340	LOC_Os01g59440.1	3640
341	LOC_Os03g21780.1	3636
342	LOC_Os07g31840.1	3636
343	LOC_Os06g30420.1	3634
344	LOC_Os03g60910.1	3632
345	LOC_Os05g45430.1	3624
346	LOC_Os11g47000.1	3624
347	LOC_Os11g36090.1	3614
348	LOC_Os02g45590.1	3614
349	LOC_Os06g05140.1	3610
350	LOC_Os02g07050.1	3610
351	LOC_Os02g38040.1	3596
352	LOC_Os06g47760.1	3592
353	LOC_Os11g45410.1	3590
354	LOC_Os11g40840.1	3588
355	LOC_Os11g35980.1	3588
356	LOC_Os06g44370.1	3584
357	LOC_Os04g04330.1	3584
358	LOC_Os04g04330.2	3584
359	LOC_Os01g07610.1	3582
360	LOC_Os03g11670.1	3582
361	LOC_Os11g07225.1	3578
362	LOC_Os07g05740.1	3578
363	LOC_Os07g05740.2	3578
364	LOC_Os05g45850.1	3576
365	LOC_Os02g01245.1	3574
366	LOC_Os02g01240.1	3574
367	LOC_Os01g02060.2	3570
368	LOC_Os02g06260.1	3570
369	LOC_Os05g32730.1	3570
370	LOC_Os02g29040.1	3568
371	LOC_Os03g04300.3	3564
372	LOC_Os12g35630.1	3562
373	LOC_Os06g03800.1	3560
374	LOC_Os11g43890.1	3558
375	LOC_Os10g21920.1	3556
376	LOC_Os03g19340.1	3556
377	LOC_Os11g03850.1	3550
378	LOC_Os02g06205.1	3546
379	LOC_Os02g45054.4	3542
380	LOC_Os02g45054.3	3542
381	LOC_Os02g45054.2	3542
382	LOC_Os05g01310.1	3540
383	LOC_Os06g16300.1	3538
384	LOC_Os10g37730.3	3538
385	LOC_Os11g36020.1	3538
386	LOC_Os10g42190.2	3532
387	LOC_Os05g01310.3	3532
388	LOC_Os10g42190.1	3532
389	LOC_Os03g63480.1	3526
390	LOC_Os01g14010.1	3526
391	LOC_Os09g04490.1	3526
392	LOC_Os09g36230.1	3522
393	LOC_Os05g01310.2	3516
394	LOC_Os06g38990.1	3514
395	LOC_Os10g36190.1	3510
396	LOC_Os01g02060.1	3508
397	LOC_Os03g47640.1	3506
398	LOC_Os02g32780.1	3506
399	LOC_Os04g38980.1	3504
400	LOC_Os06g16300.3	3494
401	LOC_Os03g17030.1	3494
402	LOC_Os06g08154.1	3490
403	LOC_Os02g34770.1	3490
404	LOC_Os08g40090.1	3488
405	LOC_Os03g44270.1	3482
406	LOC_Os10g21470.2	3478
407	LOC_Os10g21470.1	3478
408	LOC_Os02g06130.1	3478
409	LOC_Os11g31530.1	3476
410	LOC_Os12g05120.1	3474
411	LOC_Os12g05120.2	3474
412	LOC_Os05g44320.3	3470
413	LOC_Os05g44320.2	3470
414	LOC_Os05g44320.1	3468
415	LOC_Os12g40780.1	3466
416	LOC_Os02g29210.1	3464
417	LOC_Os03g55340.1	3460
418	LOC_Os10g37730.1	3458
419	LOC_Os11g36160.2	3456
420	LOC_Os01g25270.1	3454
421	LOC_Os08g22354.2	3454
422	LOC_Os05g22870.1	3454
423	LOC_Os08g14960.1	3452
424	LOC_Os04g42700.1	3452
425	LOC_Os11g01210.1	3452
426	LOC_Os09g02700.1	3448
427	LOC_Os03g62690.2	3448
428	LOC_Os04g09530.2	3447
429	LOC_Os04g09530.1	3447
430	LOC_Os09g24680.1	3446
431	LOC_Os01g21940.1	3446
432	LOC_Os01g61630.1	3444
433	LOC_Os03g51840.1	3444
434	LOC_Os02g11830.2	3442
435	LOC_Os02g13420.1	3440
436	LOC_Os08g22354.1	3438
437	LOC_Os04g15560.1	3436
438	LOC_Os12g04110.1	3436
439	LOC_Os03g07220.1	3430
440	LOC_Os04g42600.1	3426
441	LOC_Os04g42600.2	3426
442	LOC_Os01g61330.1	3424
443	LOC_Os04g40080.1	3424
444	LOC_Os05g40320.1	3422
445	LOC_Os01g32090.1	3422
446	LOC_Os08g03676.1	3422
447	LOC_Os05g41230.1	3422
448	LOC_Os06g38670.1	3422
449	LOC_Os01g37870.1	3414
450	LOC_Os01g37870.2	3414
451	LOC_Os03g51550.3	3414
452	LOC_Os05g11700.1	3414
453	LOC_Os03g51550.2	3414
454	LOC_Os01g37870.4	3414
455	LOC_Os03g51550.1	3414
456	LOC_Os01g37870.3	3414
457	LOC_Os12g40770.1	3412
458	LOC_Os03g62690.1	3410
459	LOC_Os09g07780.1	3408
460	LOC_Os11g40970.1	3408
461	LOC_Os02g42210.1	3406
462	LOC_Os08g34640.1	3400
463	LOC_Os05g28720.1	3400
464	LOC_Os04g36740.2	3394
465	LOC_Os06g38650.1	3390
466	LOC_Os02g11930.1	3384
467	LOC_Os08g39550.1	3384
468	LOC_Os04g49350.1	3384
469	LOC_Os02g12420.1	3382
470	LOC_Os03g56270.3	3378
471	LOC_Os02g54860.1	3376
472	LOC_Os02g54860.2	3376
473	LOC_Os02g02020.1	3372
474	LOC_Os12g01210.1	3370
475	LOC_Os01g58080.3	3368
476	LOC_Os01g58080.2	3368
477	LOC_Os01g58080.1	3368
478	LOC_Os05g10730.1	3366
479	LOC_Os02g01800.1	3366
480	LOC_Os02g49600.1	3366
481	LOC_Os06g38980.1	3366
482	LOC_Os09g33600.1	3364
483	LOC_Os08g38560.1	3358
484	LOC_Os02g12400.1	3344
485	LOC_Os05g10730.2	3342
486	LOC_Os05g50950.1	3342
487	LOC_Os02g29140.1	3340
488	LOC_Os02g11980.1	3340
489	LOC_Os12g06810.1	3338
490	LOC_Os06g38760.1	3336
491	LOC_Os06g38490.1	3334
492	LOC_Os01g72220.1	3330
493	LOC_Os09g30190.1	3328
494	LOC_Os08g15840.2	3326
495	LOC_Os12g06810.4	3326
496	LOC_Os08g15840.4	3326
497	LOC_Os08g15840.1	3326
498	LOC_Os08g15840.5	3326
499	LOC_Os10g31790.2	3322
500	LOC_Os11g35810.1	3320
501	LOC_Os03g02430.1	3320
502	LOC_Os06g38930.1	3320
503	LOC_Os12g06810.2	3316
504	LOC_Os02g29160.1	3316
505	LOC_Os01g15580.1	3314
506	LOC_Os08g25280.1	3314
507	LOC_Os03g47780.2	3308
508	LOC_Os03g21990.1	3304
509	LOC_Os06g38340.1	3302
510	LOC_Os10g31790.1	3302
511	LOC_Os08g24310.1	3300
512	LOC_Os03g19650.4	3298
513	LOC_Os05g23250.1	3296
514	LOC_Os02g12030.1	3294
515	LOC_Os04g52200.1	3288
516	LOC_Os11g47160.1	3286
517	LOC_Os09g03680.1	3284
518	LOC_Os03g49464.2	3284
519	LOC_Os03g49464.1	3284
520	LOC_Os11g46970.1	3282
521	LOC_Os01g08190.3	3280
522	LOC_Os02g29030.1	3278
523	LOC_Os02g52220.1	3276
524	LOC_Os01g06890.1	3274
525	LOC_Os06g12360.1	3272
526	LOC_Os02g21580.1	3270
527	LOC_Os11g41100.1	3270
528	LOC_Os02g38950.1	3266
529	LOC_Os12g06110.1	3264
530	LOC_Os10g32990.1	3260
531	LOC_Os01g06836.1	3258
532	LOC_Os05g47890.1	3258
533	LOC_Os04g51580.1	3252
534	LOC_Os02g06270.1	3252
535	LOC_Os04g51580.2	3252
536	LOC_Os05g07740.1	3246
537	LOC_Os12g10930.1	3242
538	LOC_Os10g33730.2	3242
539	LOC_Os03g52620.1	3242
540	LOC_Os10g33730.1	3242
541	LOC_Os02g40130.1	3240
542	LOC_Os04g14130.2	3240
543	LOC_Os04g14130.3	3240
544	LOC_Os04g14130.1	3240
545	LOC_Os09g03750.1	3236
546	LOC_Os01g07560.1	3228
547	LOC_Os04g35305.1	3228
548	LOC_Os03g58720.1	3224
549	LOC_Os03g04390.1	3224
550	LOC_Os07g08180.2	3222
551	LOC_Os07g08180.1	3222
552	LOC_Os04g36740.1	3220
553	LOC_Os08g01680.1	3218
554	LOC_Os06g46770.2	3218
555	LOC_Os06g46770.1	3218
556	LOC_Os01g48140.1	3216
557	LOC_Os03g56850.1	3212
558	LOC_Os01g01115.1	3212
559	LOC_Os11g47030.1	3210
560	LOC_Os03g19650.2	3210
561	LOC_Os03g19650.3	3210
562	LOC_Os02g40190.1	3210
563	LOC_Os03g19650.1	3210
564	LOC_Os02g06250.1	3208
565	LOC_Os06g07590.1	3202
566	LOC_Os02g50280.1	3196
567	LOC_Os11g02310.1	3194
568	LOC_Os09g37070.1	3192
569	LOC_Os05g23960.1	3192
570	LOC_Os01g07640.1	3186
571	LOC_Os05g09640.1	3186
572	LOC_Os01g06760.1	3184
573	LOC_Os11g47180.1	3182
574	LOC_Os03g44210.1	3174
575	LOC_Os03g44210.2	3174
576	LOC_Os05g30240.1	3174
577	LOC_Os11g46980.1	3170
578	LOC_Os02g02140.1	3170
579	LOC_Os01g49290.1	3170
580	LOC_Os02g18810.1	3170
581	LOC_Os08g10310.3	3168
582	LOC_Os04g48760.1	3168
583	LOC_Os09g15800.1	3166
584	LOC_Os01g05860.1	3164
585	LOC_Os10g35440.1	3162
586	LOC_Os05g47510.1	3162
587	LOC_Os01g45990.1	3158
588	LOC_Os05g49920.1	3158
589	LOC_Os01g39380.2	3156
590	LOC_Os09g37840.1	3154
591	LOC_Os08g39050.1	3152
592	LOC_Os04g15660.1	3150
593	LOC_Os12g43840.1	3148
594	LOC_Os12g43840.2	3148
595	LOC_Os11g24530.1	3148
596	LOC_Os09g03630.1	3148
597	LOC_Os03g46650.1	3146
598	LOC_Os07g47720.1	3146
599	LOC_Os11g01860.1	3142
600	LOC_Os05g16670.2	3140
601	LOC_Os12g04180.1	3138
602	LOC_Os10g04290.1	3138
603	LOC_Os11g10610.1	3132
604	LOC_Os11g10310.1	3130
605	LOC_Os12g15460.1	3130
606	LOC_Os11g47300.1	3130
607	LOC_Os04g51350.1	3128
608	LOC_Os01g55070.1	3126
609	LOC_Os01g39380.1	3124
610	LOC_Os07g38430.1	3114
611	LOC_Os01g44394.1	3110
612	LOC_Os02g06140.1	3108
613	LOC_Os12g01910.1	3108
614	LOC_Os07g44170.1	3106
615	LOC_Os11g07124.1	3102
616	LOC_Os07g28570.1	3100
617	LOC_Os03g20190.1	3098
618	LOC_Os09g39420.1	3098
619	LOC_Os03g47620.1	3092
620	LOC_Os03g05140.1	3092
621	LOC_Os08g44050.1	3088
622	LOC_Os04g55090.2	3086
623	LOC_Os07g14830.1	3086
624	LOC_Os05g38190.2	3086
625	LOC_Os04g55090.1	3086
626	LOC_Os11g24570.1	3084
627	LOC_Os01g42280.1	3084
628	LOC_Os03g56960.1	3082
629	LOC_Os09g31140.1	3080
630	LOC_Os06g38780.1	3078
631	LOC_Os07g03990.1	3078
632	LOC_Os04g15630.1	3078
633	LOC_Os01g60010.1	3072
634	LOC_Os06g38590.1	3066
635	LOC_Os02g29190.1	3066
636	LOC_Os04g02920.1	3058
637	LOC_Os11g36160.1	3058
638	LOC_Os11g31550.1	3052
639	LOC_Os01g71180.1	3050
640	LOC_Os02g06280.1	3048
641	LOC_Os02g19210.1	3044
642	LOC_Os02g42370.1	3042
643	LOC_Os05g33160.1	3042
644	LOC_Os08g34380.2	3038
645	LOC_Os06g14030.1	3038
646	LOC_Os07g38130.1	3034
647	LOC_Os02g50740.1	3030
648	LOC_Os08g42530.1	3028
649	LOC_Os09g27650.1	3026
650	LOC_Os08g28180.1	3024
651	LOC_Os02g02950.1	3020
652	LOC_Os04g39410.1	3018
653	LOC_Os03g17634.1	3016
654	LOC_Os11g37660.1	3016
655	LOC_Os01g39380.3	3014
656	LOC_Os02g01610.1	3014
657	LOC_Os02g01610.2	3014
658	LOC_Os05g40270.10	3014
659	LOC_Os05g02210.1	3008
660	LOC_Os07g40630.1	3008
661	LOC_Os08g44050.3	3006
662	LOC_Os08g44050.4	3006
663	LOC_Os08g44050.2	3006
664	LOC_Os08g38570.1	3004
665	LOC_Os02g53050.1	3004
666	LOC_Os06g42220.1	3002
667	LOC_Os08g36390.1	3000
668	LOC_Os03g42350.1	3000
669	LOC_Os02g06240.1	2994
670	LOC_Os05g16660.3	2988
671	LOC_Os03g11690.2	2986
672	LOC_Os05g51740.1	2986
673	LOC_Os10g42760.1	2986
674	LOC_Os03g11690.1	2986
675	LOC_Os10g22890.1	2984
676	LOC_Os06g22820.1	2982
677	LOC_Os08g05750.1	2982
678	LOC_Os01g41910.1	2982
679	LOC_Os02g34790.1	2980
680	LOC_Os03g08610.1	2976
681	LOC_Os02g39820.1	2976
682	LOC_Os08g13640.1	2976
683	LOC_Os01g54380.1	2976
684	LOC_Os03g47650.1	2974
685	LOC_Os04g32870.1	2972
686	LOC_Os05g08770.1	2972
687	LOC_Os08g25380.1	2972
688	LOC_Os05g08770.2	2972
689	LOC_Os08g37520.2	2970
690	LOC_Os08g37520.1	2970
691	LOC_Os02g14790.1	2966
692	LOC_Os03g05260.1	2964
693	LOC_Os02g13780.1	2964
694	LOC_Os09g19900.1	2964
695	LOC_Os03g16780.1	2962
696	LOC_Os11g46200.1	2958
697	LOC_Os03g43650.1	2958
698	LOC_Os07g07910.1	2958
699	LOC_Os03g56400.1	2958
700	LOC_Os01g71200.1	2956
701	LOC_Os05g16660.2	2954
702	LOC_Os05g16660.1	2954
703	LOC_Os04g03210.1	2954
704	LOC_Os10g22860.1	2952
705	LOC_Os04g47860.3	2952
706	LOC_Os03g64370.1	2950
707	LOC_Os03g32620.1	2948
708	LOC_Os09g27650.2	2946
709	LOC_Os05g30710.1	2944
710	LOC_Os01g10090.1	2944
711	LOC_Os02g20160.1	2944
712	LOC_Os06g03970.1	2942
713	LOC_Os05g02130.1	2942
714	LOC_Os01g20900.5	2940
715	LOC_Os01g20900.4	2940
716	LOC_Os06g16070.1	2940
717	LOC_Os01g20900.7	2938
718	LOC_Os01g20900.6	2938
719	LOC_Os04g57900.1	2938
720	LOC_Os06g30940.1	2936
721	LOC_Os07g14820.1	2936
722	LOC_Os12g39700.1	2936
723	LOC_Os11g34860.2	2932
724	LOC_Os02g34700.1	2928
725	LOC_Os03g16450.1	2928
726	LOC_Os07g19400.1	2928
727	LOC_Os01g08000.2	2926
728	LOC_Os07g40800.1	2926
729	LOC_Os03g64300.1	2922
730	LOC_Os01g45840.1	2922
731	LOC_Os10g22930.1	2918
732	LOC_Os05g07850.1	2916
733	LOC_Os01g20900.2	2916
734	LOC_Os01g41930.1	2914
735	LOC_Os12g21930.2	2914
736	LOC_Os12g21930.1	2914
737	LOC_Os12g21930.3	2914
738	LOC_Os01g20900.1	2914
739	LOC_Os12g30620.2	2912
740	LOC_Os12g30620.1	2912
741	LOC_Os01g20900.3	2912
742	LOC_Os10g32880.1	2910
743	LOC_Os07g05190.1	2910
744	LOC_Os06g45630.1	2908
745	LOC_Os01g74320.1	2908
746	LOC_Os08g42960.2	2906
747	LOC_Os08g42960.1	2906
748	LOC_Os04g47860.6	2904
749	LOC_Os08g05290.1	2904
750	LOC_Os04g47860.5	2904
751	LOC_Os07g34830.1	2903
752	LOC_Os12g08180.1	2902
753	LOC_Os08g28870.1	2898
754	LOC_Os08g21660.2	2898
755	LOC_Os11g34860.1	2898
756	LOC_Os01g25530.1	2896
757	LOC_Os02g44480.1	2894
758	LOC_Os05g33690.3	2894
759	LOC_Os05g33690.1	2894
760	LOC_Os11g36150.1	2892
761	LOC_Os11g24780.1	2892
762	LOC_Os05g12130.1	2892
763	LOC_Os02g12450.1	2892
764	LOC_Os02g44970.1	2892
765	LOC_Os06g04040.1	2890
766	LOC_Os04g14450.1	2886
767	LOC_Os11g12530.1	2886
768	LOC_Os07g07990.1	2886
769	LOC_Os04g14450.3	2886
770	LOC_Os04g14450.2	2886
771	LOC_Os08g15090.1	2882
772	LOC_Os05g33920.1	2882
773	LOC_Os11g29230.1	2882
774	LOC_Os01g62220.1	2880
775	LOC_Os09g38310.1	2880
